pl_hostname,ra,dec,Planet Name,st_dist,pl_orbper,pl_bmassj,st_teff,pl_discmethod,st_optmag,tr_midp_jd,pl_trandur
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458201.243,0.046008
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458203.029,0.046008
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458202.136,0.046008
Kepler-732,283.732021,45.958771,kepler732b,150.0,9.46781405,,3631.0,Transit,15.073,2458202.07,0.101821
Kepler-617,283.74071,47.516293,kepler617b,150.0,1.68269615,,3712.0,Transit,14.818,2458202.258,0.0575
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458202.136,0.046008
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458203.029,0.046008
Kepler-732,283.732021,45.958771,kepler732c,150.0,0.89304124,,3631.0,Transit,15.073,2458203.029,0.046008
CoRoT-7,100.956125,-1.063033,corot7b,153.7,0.85359159,0.018,5259.0,Transit,11.668,2458203.389,0.0441
CoRoT-7,100.956125,-1.063033,corot7b,153.7,0.85359159,0.018,5259.0,Transit,11.668,2458202.535,0.0441
CoRoT-7,100.956125,-1.063033,corot7b,153.7,0.85359159,0.018,5259.0,Transit,11.668,2458203.389,0.0441
CoRoT-7,100.956125,-1.063033,corot7b,153.7,0.85359159,0.018,5259.0,Transit,11.668,2458202.535,0.0441
WASP-14,218.276477,21.894714,wasp14b,160.0,2.243752,7.341,6475.0,Transit,9.75,2458201.667,0.1275
Kepler-1446,289.42396,46.72617,kepler1446b,162.0,0.68996783,,4865.0,Transit,12.411,2458201.274,0.050563
Kepler-1446,289.42396,46.72617,kepler1446b,162.0,0.68996783,,4865.0,Transit,12.411,2458201.964,0.050563
Kepler-1446,289.42396,46.72617,kepler1446b,162.0,0.68996783,,4865.0,Transit,12.411,2458201.274,0.050563
Kepler-1446,289.42396,46.72617,kepler1446b,162.0,0.68996783,,4865.0,Transit,12.411,2458201.964,0.050563
Kepler-994,289.072225,47.40707,kepler994b,170.0,1.15116651,,3934.0,Transit,14.44,2458202.161,0.049504
Kepler-1053,291.418635,39.127415,kepler1053b,171.0,2.41435165,,4529.0,Transit,13.156,2458203.074,0.051033
Kepler-10,285.679394,50.241299,kepler10b,173.0,0.837491,0.0145,5627.0,Transit,10.94,2458203.153,
XO-3,65.469581,57.817181,xo3b,174.0,3.1915239,11.79,6429.0,Transit,,2458203.1,0.1245
KELT-3,148.643324,40.388069,kelt3b,178.0,2.7033904,1.477,6306.0,Transit,9.873,2458202.414,0.1313
KELT-9,307.859802,39.938828,kelt9b,188.7,1.4811235,2.88,10170.0,Transit,7.55,2458202.085,0.16316
HAT-P-30,123.949894,5.836719,hatp30b,193.0,2.810595,0.711,6304.0,Transit,10.419,2458202.417,0.0887
Kepler-1019,283.717526,47.204449,kepler1019b,198.0,1.41122985,,4433.0,Transit,13.59,2458203.004,0.057967
WASP-47,331.203047,-12.018885,wasp47e,200.0,0.789636,0.02863,5576.0,Transit,11.9,2458202.121,
CoRoT-2,291.777056,1.383714,corot2b,200.0,1.7429935,3.47,5625.0,Transit,12.57,2458202.846,0.09446
WASP-47,331.203047,-12.018885,wasp47b,200.0,4.16071,1.21,5576.0,Transit,11.9,2458202.066,
KELT-17,125.617523,13.735319,kelt17b,210.0,3.0801716,1.31,7454.0,Transit,9.286,2458202.557,0.1448
TrES-2,286.808473,49.316402,tres2b,213.0,2.47061317,1.197,5850.0,Transit,11.411,2458202.149,
HAT-P-19,9.516742,34.711575,hatp19b,215.0,4.008778,0.292,4990.0,Transit,12.901,2458202.346,0.1182
WASP-3,278.631793,35.661533,wasp3b,220.0,1.8468355,1.98,6400.0,Transit,10.5,2458203.196,0.1155
Kepler-296,286.540008,49.437326,kepler296d,226.0,19.850291,,3740.0,Transit,15.921,2458202.247,
WASP-39,217.326702,-3.444534,wasp39b,230.0,4.055259,0.28,5400.0,Transit,12.11,2458201.926,0.1168
HAT-P-8,343.041067,35.447109,hatp8b,230.0,3.0763776,1.52,6200.0,Transit,10.3,2458203.162,0.1587
HAT-P-16,9.573181,42.463078,hatp16b,235.0,2.77596,4.193,6158.0,Transit,10.812,2458203.291,0.1276
Kepler-676,296.22197,50.287237,kepler676b,243.0,11.59822172,,3701.0,Transit,15.937,2458202.906,0.1094
Kepler-988,290.708386,42.237251,kepler988b,248.0,17.76080053,,4005.0,Transit,15.22,2458202.972,0.07025
Kepler-908,295.322517,39.376484,kepler908b,250.0,1.34059747,,5973.0,Transit,11.524,2458202.787,0.067021
KELT-1,0.362142,39.383808,kelt1b,262.0,1.217514,27.23,6518.0,Transit,10.701,2458203.089,0.11519
Kepler-1339,283.745794,48.373394,kepler1339b,267.0,1.34155513,,5586.0,Transit,12.299,2458202.911,0.070871
Kepler-992,284.43028,47.641785,kepler992b,268.0,20.16034462,,4944.0,Transit,13.389,2458202.999,0.159229
Kepler-1203,292.773384,44.178127,kepler1203b,269.0,0.58800076,,4105.0,Transit,14.934,2458202.003,0.048446
Kepler-1203,292.773384,44.178127,kepler1203b,269.0,0.58800076,,4105.0,Transit,14.934,2458203.179,0.048446
Kepler-1203,292.773384,44.178127,kepler1203b,269.0,0.58800076,,4105.0,Transit,14.934,2458202.003,0.048446
Kepler-1203,292.773384,44.178127,kepler1203b,269.0,0.58800076,,4105.0,Transit,14.934,2458203.179,0.048446
Kepler-753,291.903273,37.902288,kepler753b,278.0,5.74772501,,4346.0,Transit,14.496,2458202.267,0.075925
Kepler-475,287.051707,40.211542,kepler475b,280.0,3.10550819,,5009.0,Transit,13.341,2458202.15,0.07171
Kepler-1009,282.85993,42.665764,kepler1009b,281.0,11.35011917,,4027.0,Transit,15.278,2458201.829,0.098992
HAT-P-32,31.042848,46.687836,hatp32b,283.0,2.15000805,,6269.0,Transit,11.289,2458202.311,
Kepler-1027,287.571185,42.813923,kepler1027b,291.0,1.9078052,,5436.0,Transit,12.852,2458202.186,0.077213
XO-4,110.388223,58.268108,xo4b,293.0,4.1250828,1.78,5700.0,Transit,10.674,2458202.633,
HAT-P-25,48.435419,25.197405,hatp25b,297.0,3.652836,0.567,5500.0,Transit,13.19,2458201.4,0.1174
