pl_hostname,ra,dec,Planet Name,st_dist,pl_orbper,pl_bmassj,st_teff,pl_discmethod,st_optmag,tr_midp_jd,pl_trandur
Kepler-1566,283.587614,40.574927,kepler1566b,511.0,0.53991524,,5254.0,Transit,14.311,2458202.963,0.04746
Kepler-1566,283.587614,40.574927,kepler1566b,511.0,0.53991524,,5254.0,Transit,14.311,2458201.884,0.04746
Kepler-889,291.467319,50.759489,kepler889b,513.0,3.744439,,5961.0,Transit,12.71,2458201.756,0.122883
Kepler-1332,291.02859,43.913673,kepler1332b,515.0,11.87456832,,5581.0,Transit,13.756,2458203.096,0.082925
Kepler-780,281.766389,44.292549,kepler780b,520.0,0.67737516,,5769.0,Transit,13.326,2458202.767,0.076012
Kepler-780,281.766389,44.292549,kepler780b,520.0,0.67737516,,5769.0,Transit,13.326,2458202.09,0.076012
Kepler-780,281.766389,44.292549,kepler780b,520.0,0.67737516,,5769.0,Transit,13.326,2458202.767,0.076012
Kepler-780,281.766389,44.292549,kepler780b,520.0,0.67737516,,5769.0,Transit,13.326,2458202.09,0.076012
Kepler-1324,291.18497,40.311214,kepler1324b,522.0,4.11584468,,4776.0,Transit,15.141,2458202.173,0.05771
Kepler-847,283.504798,49.451015,kepler847b,529.0,2.3432319,,4940.0,Transit,14.782,2458202.21,0.084962
Kepler-1560,292.784608,43.215984,kepler1560b,529.0,3.03195744,,5815.0,Transit,13.421,2458202.088,0.06904
Kepler-1323,292.872284,46.098885,kepler1323b,530.0,0.92990668,,6169.0,Transit,12.41,2458203.186,0.072617
Kepler-1323,292.872284,46.098885,kepler1323b,530.0,0.92990668,,6169.0,Transit,12.41,2458202.256,0.072617
Kepler-1323,292.872284,46.098885,kepler1323b,530.0,0.92990668,,6169.0,Transit,12.41,2458203.186,0.072617
Kepler-1323,292.872284,46.098885,kepler1323b,530.0,0.92990668,,6169.0,Transit,12.41,2458202.256,0.072617
Kepler-928,289.920717,41.542828,kepler928b,532.0,3.9324613,,4700.0,Transit,15.32,2458201.97,0.091592
Kepler-1235,284.903015,43.95396,kepler1235b,533.0,4.16055856,,5541.0,Transit,13.889,2458202.188,0.10896
Kepler-1414,284.92858,42.42231,kepler1414b,534.0,3.51576315,,4951.0,Transit,14.897,2458201.801,0.05683
Kepler-1169,294.911573,46.491463,kepler1169b,538.0,6.11009134,,6191.0,Transit,12.716,2458202.151,0.10196
Kepler-1576,289.073975,40.366015,kepler1576b,539.0,6.98471973,,5876.0,Transit,13.382,2458202.921,0.11346
Kepler-1430,289.697494,43.372093,kepler1430b,541.0,2.46050993,,4796.0,Transit,15.245,2458202.183,0.08346
Kepler-1136,284.107796,44.245808,kepler1136b,545.0,2.36172433,,4512.0,Transit,15.658,2458201.802,0.050975
Kepler-1228,296.553083,46.96629,kepler1228b,547.0,0.57736958,,5063.0,Transit,14.859,2458202.159,0.045679
Kepler-1228,296.553083,46.96629,kepler1228b,547.0,0.57736958,,5063.0,Transit,14.859,2458203.314,0.045679
Kepler-1228,296.553083,46.96629,kepler1228b,547.0,0.57736958,,5063.0,Transit,14.859,2458203.314,0.045679
Kepler-1563,288.573588,51.472755,kepler1563b,547.0,3.43276598,,5765.0,Transit,13.583,2458203.012,0.17317
Kepler-1228,296.553083,46.96629,kepler1228b,547.0,0.57736958,,5063.0,Transit,14.859,2458202.159,0.045679
Kepler-4,285.615322,50.135754,kepler4b,550.0,3.21346,0.077,5857.0,Transit,12.7,2458202.207,
Kepler-842,292.328581,49.653538,kepler842b,552.0,1.21956827,,4848.0,Transit,15.127,2458203.194,0.0653
Kepler-842,292.328581,49.653538,kepler842b,552.0,1.21956827,,4848.0,Transit,15.127,2458201.975,0.0653
Kepler-842,292.328581,49.653538,kepler842b,552.0,1.21956827,,4848.0,Transit,15.127,2458203.194,0.0653
Kepler-842,292.328581,49.653538,kepler842b,552.0,1.21956827,,4848.0,Transit,15.127,2458201.975,0.0653
Kepler-1139,287.945617,39.230568,kepler1139b,555.0,0.81316672,,5550.0,Transit,14.113,2458201.229,0.059483
Kepler-1139,287.945617,39.230568,kepler1139b,555.0,0.81316672,,5550.0,Transit,14.113,2458202.855,0.059483
Kepler-1139,287.945617,39.230568,kepler1139b,555.0,0.81316672,,5550.0,Transit,14.113,2458201.229,0.059483
Kepler-1139,287.945617,39.230568,kepler1139b,555.0,0.81316672,,5550.0,Transit,14.113,2458202.042,0.059483
Kepler-1139,287.945617,39.230568,kepler1139b,555.0,0.81316672,,5550.0,Transit,14.113,2458202.855,0.059483
Kepler-1139,287.945617,39.230568,kepler1139b,555.0,0.81316672,,5550.0,Transit,14.113,2458202.855,0.059483
Kepler-1139,287.945617,39.230568,kepler1139b,555.0,0.81316672,,5550.0,Transit,14.113,2458202.042,0.059483
Kepler-1139,287.945617,39.230568,kepler1139b,555.0,0.81316672,,5550.0,Transit,14.113,2458201.229,0.059483
Kepler-1139,287.945617,39.230568,kepler1139b,555.0,0.81316672,,5550.0,Transit,14.113,2458202.042,0.059483
Kepler-563,292.446272,46.289776,kepler563b,557.0,22.18432708,,5066.0,Transit,14.767,2458202.141,0.127346
Kepler-1363,296.996558,49.256413,kepler1363b,559.0,2.94194094,,4839.0,Transit,15.29,2458202.242,0.084721
CoRoT-11,280.687263,5.937688,corot11b,560.0,2.99433,2.33,6440.0,Transit,,2458202.852,0.1042
Kepler-1604,285.410633,44.412212,kepler1604b,562.0,0.68368426,,4976.0,Transit,14.915,2458203.273,0.041638
Kepler-1604,285.410633,44.412212,kepler1604b,562.0,0.68368426,,4976.0,Transit,14.915,2458201.905,0.041638
Kepler-1604,285.410633,44.412212,kepler1604b,562.0,0.68368426,,4976.0,Transit,14.915,2458201.222,0.041638
Kepler-1604,285.410633,44.412212,kepler1604b,562.0,0.68368426,,4976.0,Transit,14.915,2458201.905,0.041638
Kepler-1604,285.410633,44.412212,kepler1604b,562.0,0.68368426,,4976.0,Transit,14.915,2458203.273,0.041638
Kepler-1604,285.410633,44.412212,kepler1604b,562.0,0.68368426,,4976.0,Transit,14.915,2458203.273,0.041638
Kepler-1604,285.410633,44.412212,kepler1604b,562.0,0.68368426,,4976.0,Transit,14.915,2458201.222,0.041638
Kepler-1604,285.410633,44.412212,kepler1604b,562.0,0.68368426,,4976.0,Transit,14.915,2458201.905,0.041638
Kepler-1604,285.410633,44.412212,kepler1604b,562.0,0.68368426,,4976.0,Transit,14.915,2458201.222,0.041638
Kepler-986,293.094007,42.896431,kepler986b,563.0,56.4349938,,5642.0,Transit,13.668,2458201.206,0.195954
WASP-141,71.824409,-17.115154,wasp141b,570.0,3.310651,2.69,5900.0,Transit,12.4,2458201.498,0.15
Kepler-605,287.295436,43.279873,kepler605c,570.0,2.35895152,,5462.0,Transit,14.14,2458202.173,0.06804
Kepler-77,289.607956,44.345425,kepler77b,570.0,3.57878087,0.43,5520.0,Transit,13.938,2458202.248,0.12224
Kepler-831,294.985491,42.727669,kepler831b,577.0,5.62153941,,5732.0,Transit,13.687,2458202.276,0.098492
Kepler-1200,296.603451,44.129257,kepler1200b,579.0,1.11854972,,4612.0,Transit,15.793,2458202.93,0.064271
Kepler-1200,296.603451,44.129257,kepler1200b,579.0,1.11854972,,4612.0,Transit,15.793,2458201.812,0.064271
Kepler-1200,296.603451,44.129257,kepler1200b,579.0,1.11854972,,4612.0,Transit,15.793,2458202.93,0.064271
Kepler-1200,296.603451,44.129257,kepler1200b,579.0,1.11854972,,4612.0,Transit,15.793,2458201.812,0.064271
Kepler-1310,283.920035,40.740123,kepler1310b,583.0,0.67933627,,5549.0,Transit,14.159,2458202.215,0.049096
Kepler-1310,283.920035,40.740123,kepler1310b,583.0,0.67933627,,5549.0,Transit,14.159,2458202.895,0.049096
Kepler-1310,283.920035,40.740123,kepler1310b,583.0,0.67933627,,5549.0,Transit,14.159,2458202.215,0.049096
Kepler-1310,283.920035,40.740123,kepler1310b,583.0,0.67933627,,5549.0,Transit,14.159,2458202.895,0.049096
Kepler-1061,296.230004,50.27523,kepler1061b,585.0,2.75798267,,6067.0,Transit,13.263,2458202.75,0.095442
Kepler-653,282.21293,46.717819,kepler653c,593.0,0.90037648,,5665.0,Transit,13.387,2458202.072,0.05804
Kepler-653,282.21293,46.717819,kepler653c,593.0,0.90037648,,5665.0,Transit,13.387,2458201.171,0.05804
Kepler-653,282.21293,46.717819,kepler653c,593.0,0.90037648,,5665.0,Transit,13.387,2458202.972,0.05804
Kepler-653,282.21293,46.717819,kepler653c,593.0,0.90037648,,5665.0,Transit,13.387,2458202.072,0.05804
Kepler-653,282.21293,46.717819,kepler653c,593.0,0.90037648,,5665.0,Transit,13.387,2458201.171,0.05804
Kepler-653,282.21293,46.717819,kepler653c,593.0,0.90037648,,5665.0,Transit,13.387,2458202.972,0.05804
Kepler-653,282.21293,46.717819,kepler653c,593.0,0.90037648,,5665.0,Transit,13.387,2458202.072,0.05804
Kepler-653,282.21293,46.717819,kepler653c,593.0,0.90037648,,5665.0,Transit,13.387,2458201.171,0.05804
Kepler-653,282.21293,46.717819,kepler653c,593.0,0.90037648,,5665.0,Transit,13.387,2458202.972,0.05804
CoRoT-23,279.782615,4.357806,corot23b,600.0,3.6313,2.8,5900.0,Transit,15.63,2458203.085,0.162
Kepler-1010,289.192636,44.149326,kepler1010b,610.0,34.2685705,,5253.0,Transit,14.685,2458201.298,0.200767
Kepler-853,283.936824,49.110325,kepler853b,610.0,7.16892463,,6350.0,Transit,12.32,2458201.864,0.191279
Kepler-11,297.115123,41.909138,kepler11c,613.0,13.0241,0.009,5663.0,Transit,14.2,2458201.194,0.1893
Kepler-1240,282.999715,40.55745,kepler1240b,614.0,4.8663815,,5682.0,Transit,13.987,2458203.161,0.09296
Kepler-1171,294.958925,38.591578,kepler1171b,615.0,1.44259224,,7044.0,Transit,11.558,2458202.807,0.125629
Kepler-828,286.887275,42.471256,kepler828b,625.0,0.56785714,,5039.0,Transit,15.055,2458202.145,0.041121
Kepler-828,286.887275,42.471256,kepler828b,625.0,0.56785714,,5039.0,Transit,15.055,2458203.28,0.041121
Kepler-828,286.887275,42.471256,kepler828b,625.0,0.56785714,,5039.0,Transit,15.055,2458202.145,0.041121
Kepler-828,286.887275,42.471256,kepler828b,625.0,0.56785714,,5039.0,Transit,15.055,2458203.28,0.041121
Kepler-707,290.00757,42.116459,kepler707b,626.0,2.23749275,,5099.0,Transit,15.001,2458201.195,0.076004
Kepler-1082,289.358672,50.598484,kepler1082b,628.0,1.5432066,,5923.0,Transit,13.38,2458202.203,0.108725
Kepler-1028,289.593097,49.781158,kepler1028b,633.0,2.51462432,,5522.0,Transit,14.325,2458202.232,0.067054
Kepler-1120,290.914483,42.286579,kepler1120b,635.0,2.94902905,,4904.0,Transit,15.333,2458201.221,0.084971
Kepler-1520,290.966214,51.504723,kepler1520b,636.0,0.65355357,,4677.0,Transit,15.692,2458202.764,0.064162
Kepler-1520,290.966214,51.504723,kepler1520b,636.0,0.65355357,,4677.0,Transit,15.692,2458202.764,0.064162
Kepler-1520,290.966214,51.504723,kepler1520b,636.0,0.65355357,,4677.0,Transit,15.692,2458202.11,0.064162
Kepler-1520,290.966214,51.504723,kepler1520b,636.0,0.65355357,,4677.0,Transit,15.692,2458202.11,0.064162
Kepler-554,296.406853,51.358154,kepler554b,642.0,1.90220856,,5447.0,Transit,14.313,2458202.965,0.0919888
HAT-P-39,113.758247,17.830082,hatp39b,642.0,3.54387,0.599,6430.0,Transit,12.422,2458203.321,0.1745
HATS-18,173.957397,-29.156012,hats18b,645.0,0.8378434,1.98,5600.0,Transit,14.067,2458201.724,0.07886
Kepler-826,284.860139,39.240548,kepler826b,649.0,4.48758907,,6079.0,Transit,13.446,2458201.913,0.11795
Kepler-1258,285.404941,49.994747,kepler1258b,651.0,0.98494017,,5839.0,Transit,13.835,2458201.848,0.081429
Kepler-1258,285.404941,49.994747,kepler1258b,651.0,0.98494017,,5839.0,Transit,13.835,2458202.833,0.081429
Kepler-1258,285.404941,49.994747,kepler1258b,651.0,0.98494017,,5839.0,Transit,13.835,2458202.833,0.081429
Kepler-1258,285.404941,49.994747,kepler1258b,651.0,0.98494017,,5839.0,Transit,13.835,2458201.848,0.081429
Kepler-496,291.640896,41.241049,kepler496b,655.0,8.30864937,,5293.0,Transit,14.817,2458203.173,0.13421
Kepler-491,287.130575,42.350155,kepler491b,657.0,4.22538451,,5582.0,Transit,14.014,2458202.98,0.1174288
Kepler-1565,297.952967,40.806808,kepler1565b,657.0,1.53818844,,4940.0,Transit,15.329,2458201.838,0.070925
Kepler-1588,288.232715,48.002178,kepler1588b,658.0,7.84931739,,5817.0,Transit,13.858,2458201.795,0.15567
Kepler-865,297.724283,43.527435,kepler865b,664.0,14.16399294,,5570.0,Transit,14.48,2458202.98,0.180171
Kepler-1547,283.764074,42.222172,kepler1547b,665.0,0.69297968,,6078.0,Transit,13.447,2458203.094,0.04508
Kepler-785,292.068304,38.842261,kepler785b,666.0,1.97376093,,4739.0,Transit,15.715,2458203.261,0.076215
Kepler-785,292.068304,38.842261,kepler785b,666.0,1.97376093,,4739.0,Transit,15.715,2458203.261,0.076215
Kepler-681,289.399721,51.250324,kepler681b,666.0,26.39435646,,5021.0,Transit,15.234,2458202.771,0.144937
Kepler-785,292.068304,38.842261,kepler785b,666.0,1.97376093,,4739.0,Transit,15.715,2458201.287,0.076215
Kepler-785,292.068304,38.842261,kepler785b,666.0,1.97376093,,4739.0,Transit,15.715,2458201.287,0.076215
Kepler-1531,285.146577,39.370798,kepler1531b,670.0,1.13854338,,6260.0,Transit,13.194,2458201.206,0.087175
Kepler-641,291.823482,42.516216,kepler641b,673.0,9.48961571,,5713.0,Transit,13.774,2458202.93,0.147008
Kepler-1254,285.173326,48.770042,kepler1254d,676.0,5.72717226,,4985.0,Transit,15.311,2458202.816,0.09071
Kepler-914,290.412001,44.89933,kepler914b,678.0,4.40966548,,5877.0,Transit,13.574,2458202.143,0.087775
Kepler-535,296.566641,49.696251,kepler535b,678.0,4.90332155,,6123.0,Transit,13.174,2458202.866,0.119579
Kepler-1402,291.847824,48.968132,kepler1402b,681.0,2.03387914,,5416.0,Transit,14.621,2458202.852,0.13337
Kepler-1611,296.512049,49.727764,kepler1611b,686.0,5.1762429,,5605.0,Transit,14.435,2458201.896,0.2146
Kepler-1466,289.831222,44.609863,kepler1466b,686.0,31.1750448,,5884.0,Transit,13.926,2458203.125,0.16533
Kepler-1067,285.387409,45.049053,kepler1067b,689.0,0.76212926,,5592.0,Transit,14.305,2458202.907,0.04483
Kepler-1067,285.387409,45.049053,kepler1067b,689.0,0.76212926,,5592.0,Transit,14.305,2458202.145,0.04483
Kepler-1067,285.387409,45.049053,kepler1067b,689.0,0.76212926,,5592.0,Transit,14.305,2458202.907,0.04483
Kepler-1067,285.387409,45.049053,kepler1067b,689.0,0.76212926,,5592.0,Transit,14.305,2458202.145,0.04483
Kepler-1263,286.483651,46.752617,kepler1263b,695.0,4.55139967,,5213.0,Transit,15.035,2458202.105,0.10379
Kepler-1259,297.841489,46.967682,kepler1259b,704.0,0.66308526,,5053.0,Transit,15.304,2458202.825,0.044546
Kepler-1259,297.841489,46.967682,kepler1259b,704.0,0.66308526,,5053.0,Transit,15.304,2458202.825,0.044546
Kepler-1259,297.841489,46.967682,kepler1259b,704.0,0.66308526,,5053.0,Transit,15.304,2458202.162,0.044546
Kepler-1259,297.841489,46.967682,kepler1259b,704.0,0.66308526,,5053.0,Transit,15.304,2458202.162,0.044546
Kepler-1311,289.651263,43.824417,kepler1311b,705.0,11.1726994,,5748.0,Transit,13.349,2458201.916,0.25029
Kepler-586,293.05722,45.551193,kepler586b,707.0,2.10472218,,5575.0,Transit,14.427,2458203.222,0.073229
HAT-P-53,21.871105,38.968147,hatp53b,719.0,1.9616241,1.484,5956.0,Transit,13.73,2458203.013,0.1164
Kepler-1409,290.084786,51.208603,kepler1409b,722.0,0.76486493,,5160.0,Transit,15.168,2458201.274,0.049079
Kepler-1409,290.084786,51.208603,kepler1409b,722.0,0.76486493,,5160.0,Transit,15.168,2458202.039,0.049079
Kepler-1409,290.084786,51.208603,kepler1409b,722.0,0.76486493,,5160.0,Transit,15.168,2458201.274,0.049079
Kepler-1409,290.084786,51.208603,kepler1409b,722.0,0.76486493,,5160.0,Transit,15.168,2458202.804,0.049079
Kepler-1409,290.084786,51.208603,kepler1409b,722.0,0.76486493,,5160.0,Transit,15.168,2458202.804,0.049079
Kepler-1409,290.084786,51.208603,kepler1409b,722.0,0.76486493,,5160.0,Transit,15.168,2458201.274,0.049079
Kepler-1409,290.084786,51.208603,kepler1409b,722.0,0.76486493,,5160.0,Transit,15.168,2458202.039,0.049079
Kepler-1409,290.084786,51.208603,kepler1409b,722.0,0.76486493,,5160.0,Transit,15.168,2458202.804,0.049079
Kepler-1409,290.084786,51.208603,kepler1409b,722.0,0.76486493,,5160.0,Transit,15.168,2458202.039,0.049079
Kepler-790,286.917117,38.872221,kepler790b,727.0,13.73469807,,5208.0,Transit,15.187,2458202.985,0.098225
Kepler-524,296.859217,49.162048,kepler524c,730.0,1.88897906,,6014.0,Transit,13.928,2458202.808,0.13525
Kepler-1598,288.469102,46.78368,kepler1598b,734.0,4.34195123,,5940.0,Transit,13.874,2458201.939,0.11233
Kepler-1317,291.611881,42.115971,kepler1317b,734.0,0.56887443,,5144.0,Transit,15.23,2458201.944,0.050633
Kepler-1317,291.611881,42.115971,kepler1317b,734.0,0.56887443,,5144.0,Transit,15.23,2458203.082,0.050633
Kepler-1317,291.611881,42.115971,kepler1317b,734.0,0.56887443,,5144.0,Transit,15.23,2458201.944,0.050633
Kepler-1317,291.611881,42.115971,kepler1317b,734.0,0.56887443,,5144.0,Transit,15.23,2458203.082,0.050633
Kepler-854,293.351293,43.13464,kepler854b,741.0,2.14463285,,6179.0,Transit,13.48,2458203.235,0.162617
Kepler-1031,296.089747,48.955376,kepler1031b,741.0,1.22621732,,6011.0,Transit,13.8,2458202.901,0.089525
Kepler-1278,282.956935,42.825619,kepler1278b,743.0,3.23941344,,6074.0,Transit,13.658,2458203.158,0.11058
Kepler-751,294.843831,44.077686,kepler751b,748.0,17.44490636,,5387.0,Transit,15.007,2458201.986,0.170783
Kepler-571,286.55102,49.418743,kepler571b,756.0,4.79859939,,5527.0,Transit,14.675,2458202.125,0.124912
Kepler-1300,289.033022,40.086887,kepler1300b,757.0,22.2419092,,6130.0,Transit,12.816,2458202.802,0.30229
Kepler-634,291.195065,40.702706,kepler634b,757.0,5.16950177,,6075.0,Transit,13.55,2458203.235,0.18779
Kepler-770,286.490428,38.374907,kepler770c,761.0,1.47532231,,5598.0,Transit,14.604,2458203.166,0.09692
Kepler-1244,282.301216,46.516201,kepler1244b,764.0,3.70428172,,6680.0,Transit,12.402,2458202.758,0.13671
Kepler-1108,296.042339,45.985146,kepler1108b,764.0,4.51005748,,5406.0,Transit,14.979,2458201.278,0.090021
Kepler-916,290.983322,45.973301,kepler916b,769.0,32.2968798,,5248.0,Transit,15.2,2458201.209,0.19237
Kepler-1320,288.433591,40.380875,kepler1320b,771.0,0.86838653,,4817.0,Transit,15.898,2458203.281,0.044063
Kepler-840,296.507394,49.457291,kepler840b,778.0,2.49577962,,5920.0,Transit,14.152,2458202.868,0.1775996
Kepler-760,287.593209,44.179417,kepler760b,782.0,8.70419416,,5322.0,Transit,15.07,2458202.211,0.123921
Kepler-1398,294.866185,48.638985,kepler1398b,793.0,2.78815679,,6126.0,Transit,13.71,2458201.902,0.13858
Kepler-1123,294.517667,50.670399,kepler1123b,796.0,4.33946454,,5500.0,Transit,14.822,2458203.043,0.095721
Kepler-17,298.395274,47.815006,kepler17b,800.0,1.4857108,2.45,5781.0,Transit,14.141,2458203.157,0.09485
Kepler-980,294.613008,45.060169,kepler980b,804.0,11.55102504,,5935.0,Transit,14.138,2458202.196,0.15475
Kepler-862,297.779266,46.492741,kepler862b,806.0,3.14866453,,5333.0,Transit,15.297,2458203.207,0.090808
Kepler-1206,295.938407,49.791145,kepler1206b,807.0,1.21699766,,4877.0,Transit,15.975,2458202.246,0.054588
Kepler-1167,298.302714,47.694023,kepler1167b,811.0,1.00393374,,4971.0,Transit,15.942,2458201.78,0.060675
Kepler-1167,298.302714,47.694023,kepler1167b,811.0,1.00393374,,4971.0,Transit,15.942,2458202.784,0.060675
Kepler-1167,298.302714,47.694023,kepler1167b,811.0,1.00393374,,4971.0,Transit,15.942,2458201.78,0.060675
Kepler-1167,298.302714,47.694023,kepler1167b,811.0,1.00393374,,4971.0,Transit,15.942,2458202.784,0.060675
Kepler-1264,289.884378,45.211502,kepler1264b,814.0,0.96852602,,5791.0,Transit,14.511,2458202.294,0.053767
Kepler-1264,289.884378,45.211502,kepler1264b,814.0,0.96852602,,5791.0,Transit,14.511,2458203.262,0.053767
Kepler-1264,289.884378,45.211502,kepler1264b,814.0,0.96852602,,5791.0,Transit,14.511,2458202.294,0.053767
Kepler-1264,289.884378,45.211502,kepler1264b,814.0,0.96852602,,5791.0,Transit,14.511,2458203.262,0.053767
Kepler-562,290.119627,46.273811,kepler562b,822.0,18.00931444,,5575.0,Transit,14.794,2458203.09,0.207138
Kepler-552,290.747687,48.242012,kepler552b,834.0,5.26341577,,5863.0,Transit,14.279,2458202.244,0.090742
Kepler-1612,291.250279,45.655075,kepler1612b,837.0,3.91795101,,5643.0,Transit,14.75,2458202.092,0.10775
Kepler-1073,294.1527,38.233048,kepler1073b,837.0,8.67888593,,5792.0,Transit,14.523,2458203.262,0.145075
HATS-32,346.075073,-21.271938,hats32b,839.0,2.8126548,0.92,5700.0,Transit,14.384,2458201.284,0.1189
WASP-142,140.506393,-23.946169,wasp142b,840.0,2.052868,0.84,6010.0,Transit,12.3,2458202.547,0.1117
Kepler-721,284.430506,44.480534,kepler721b,848.0,5.39202539,,5075.0,Transit,15.651,2458202.198,0.12421
Kepler-1093,284.978013,41.420166,kepler1093b,848.0,25.0824626,,6166.0,Transit,13.838,2458202.771,0.26488
Kepler-1284,291.279002,47.687649,kepler1284b,852.0,0.66407381,,5123.0,Transit,15.645,2458203.099,0.045913
Kepler-1284,291.279002,47.687649,kepler1284b,852.0,0.66407381,,5123.0,Transit,15.645,2458203.099,0.045913
Kepler-1284,291.279002,47.687649,kepler1284b,852.0,0.66407381,,5123.0,Transit,15.645,2458201.771,0.045913
Kepler-1284,291.279002,47.687649,kepler1284b,852.0,0.66407381,,5123.0,Transit,15.645,2458201.771,0.045913
Kepler-1011,297.401546,46.824001,kepler1011b,860.0,5.75322197,,5416.0,Transit,15.196,2458203.067,0.070117
Kepler-1245,290.744327,43.260777,kepler1245c,861.0,2.93658468,,5306.0,Transit,15.404,2458202.154,0.077163
Kepler-724,293.454838,44.792797,kepler724b,862.0,3.31494634,,5437.0,Transit,15.142,2458203.237,0.071121
Kepler-1438,289.289809,40.681665,kepler1438b,866.0,2.31942009,,5530.0,Transit,14.869,2458202.846,0.06717
Kepler-656,288.327899,47.381592,kepler656b,867.0,1.26025909,,5281.0,Transit,15.342,2458201.946,0.078092
Kepler-656,288.327899,47.381592,kepler656b,867.0,1.26025909,,5281.0,Transit,15.342,2458203.207,0.078092
Kepler-656,288.327899,47.381592,kepler656b,867.0,1.26025909,,5281.0,Transit,15.342,2458201.946,0.078092
Kepler-761,290.503604,44.143581,kepler761b,867.0,10.12804789,,5706.0,Transit,14.743,2458202.963,0.140133
Kepler-656,288.327899,47.381592,kepler656b,867.0,1.26025909,,5281.0,Transit,15.342,2458203.207,0.078092
Kepler-1003,292.020456,44.876217,kepler1003b,873.0,3.55485691,,6109.0,Transit,14.053,2458203.279,0.087608
Kepler-1098,295.502705,43.232796,kepler1098b,876.0,2.54307286,,5794.0,Transit,14.736,2458203.011,0.114558
Kepler-1208,291.881263,44.555729,kepler1208b,877.0,11.08507637,,5001.0,Transit,15.938,2458203.177,0.07117
Kepler-927,289.38351,41.392695,kepler927b,879.0,9.1149903,,5743.0,Transit,14.63,2458202.798,0.186883
Kepler-1356,290.995346,43.243938,kepler1356b,881.0,0.63400294,,5106.0,Transit,15.76,2458202.114,0.038488
Kepler-1189,298.426343,47.946785,kepler1189b,883.0,3.78858982,,6012.0,Transit,14.285,2458203.078,0.1455
Kepler-1508,298.118885,40.375047,kepler1508b,892.0,20.7056504,,6158.0,Transit,14.276,2458203.066,0.37621
Kepler-763,292.144477,47.157352,kepler763b,902.0,1.19655156,,5166.0,Transit,15.692,2458202.203,0.049587
HATS-26,144.926863,-28.58559,hats26b,907.0,3.3023881,0.65,6071.0,Transit,12.955,2458201.588,0.2173
Kepler-1528,287.402943,46.573986,kepler1528b,916.0,1.79111021,,5857.0,Transit,14.496,2458203.285,0.08742
Kepler-1420,296.20381,42.777832,kepler1420b,923.0,6.69960006,,5187.0,Transit,15.883,2458203.054,0.11267
Kepler-150,288.234084,40.520905,kepler150d,927.0,12.56093,,5560.0,Transit,14.985,2458202.833,0.1568
Kepler-1622,297.32891,47.815472,kepler1622b,927.0,10.8118737,,6436.0,Transit,13.385,2458202.883,0.10879
Kepler-1015,292.75733,43.42691,kepler1015b,932.0,16.00494214,,6769.0,Transit,12.818,2458201.253,0.269367
Kepler-612,291.354639,45.747898,kepler612b,932.0,3.72215641,,5693.0,Transit,14.911,2458201.893,0.082963
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458201.774,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458202.312,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458202.85,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458201.235,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458201.235,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458201.774,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458202.85,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458202.312,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458201.235,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458201.774,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458202.85,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458202.312,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458201.235,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458202.85,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458202.312,0.061671
Kepler-990,297.938209,46.881393,kepler990c,933.0,0.53835431,,5948.0,Transit,14.498,2458201.774,0.061671
Kepler-1342,297.020069,43.432549,kepler1342b,941.0,2.21571036,,5527.0,Transit,15.392,2458201.975,0.078812
Kepler-1207,295.064243,49.358994,kepler1207b,946.0,13.68237119,,5909.0,Transit,14.5,2458201.227,0.17346
Kepler-1379,293.670471,41.410248,kepler1379b,951.0,0.88184115,,5188.0,Transit,15.919,2458202.811,0.054379
Kepler-1379,293.670471,41.410248,kepler1379b,951.0,0.88184115,,5188.0,Transit,15.919,2458201.93,0.054379
Kepler-1379,293.670471,41.410248,kepler1379b,951.0,0.88184115,,5188.0,Transit,15.919,2458201.93,0.054379
